ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021)
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63,10.4981699,10.64156659,10.78496329,10.92835999,11.07175668,11.21515338,11.35855007,11.52077961,11.81127501,12.1017704,12.23978043,12.54360962,12.56184006,12.84302998,13.01842976,13.42304039,13.53824997,13.63586998,13.73890018,13.98771,14.08798027,14.29753017,14.77875042,14.80132961,15.31830978,15.05727005,15.09776974,15.05659962,15.11495162,15.17352977,15.17352977,15.17352977
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169,5.529300213,5.745250225,6.851079941,7.150440216,7.435420036,10.89968967,10.68700981,10.80333328,10.91965675,11.03598022,10.34127998,10.66903019,10.62281036,10.29662514,9.970439911,9.846899986,9.941060066,9.792160034,10.11480999,10.43745995,10.7601099,10.91059971,11.1173968,11.32811348,11.54282403,11.76160417,11.98453101,12.21168316,12.4431407,12.67898523,12.67898523,12.67898523
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62,9.827679634,9.987910271,10.17436981,10.16162014,10.22583008,10.28680992,10.72850672,11.17020353,11.61190033,11.61859035,11.91814995,12.0710001,12.19441986,12.74166965,12.96833992,12.69880962,12.19968987,12.34319019,12.47745037,12.6348896,12.85531998,12.71901035,13.00349998,13.22638035,13.45189953,13.66390991,13.8724699,13.67864037,13.54508018,13.48631954,13.34304047,13.34304047
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139,10.42286942,10.83835983,11.27041308,11.70246633,12.13451958,12.01089954,11.8145299,11.61816025,11.74695969,11.50034046,11.70321512,11.90608978,11.7733202,11.87378979,11.78052998,11.68727016,11.53619957,11.60042298,11.62748167,11.65454037,11.68159907,11.70865776,11.73571646,11.76277515,11.79002217,11.81733231,11.8447057,11.8721425,11.89964286,11.92720692,11.92720692,11.92720692
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189,2.059570074,2.089375019,2.119179964,2.204723597,2.290267229,2.375810862,2.461354494,2.546898127,2.632441759,2.717985392,2.803529024,2.889072657,2.974616289,3.060159922,3.399849892,3.628170013,3.777889967,3.90508008,4.137710094,4.374360085,4.699289799,4.983039856,5.214409828,5.448969841,5.683529854,5.918089867,6.21517992,6.406770229,6.67627276,6.957111988,6.957111988,6.957111988
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163,5.6963701,5.884754825,6.079369625,6.280420532,6.488120397,6.702689106,6.92435382,7.15334921,7.389917709,7.634309769,8.003800392,7.746399879,8.150876681,8.555353483,8.959830284,9.028440475,8.89398632,8.759532166,8.625078011,8.490623856,8.356169701,8.682390213,8.861738897,9.041087581,9.220436265,9.399784948,9.579133632,9.758482316,9.937831,10.12758388,10.12758388,10.12758388
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126,7.488699913,8.013589859,8.173259735,8.340353012,8.507446289,8.674539566,8.987131119,9.299722672,9.612314224,9.924905777,10.23749733,10.55008888,10.86268044,10.90502671,10.94737299,10.98971926,10.91788199,10.84604472,10.77420744,10.70237017,10.8882017,11.07403322,11.25986475,11.44569627,11.6315278,11.82682458,12.02540046,12.22731048,12.43261063,12.64135783,12.64135783,12.64135783
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10,14.67444992,14.92512989,14.83885002,15.07598972,17.31242943,16.72776031,16.89909935,16.55894089,16.52049065,16.38546944,16.56546021,16.6722393,16.30929947,16.3899498,16.29527092,16.41580009,16.51478958,16.63899994,16.75245094,16.80503082,16.99106026,17.85778046,17.82703972,17.91139285,17.99574598,18.08009911,18.04483032,18.48513031,18.5599308,18.69316522,18.69316522,18.69316522
NOR,Norway,Europe,Northern Hemisphere,Very High,,2,13.94550037,14.24613953,14.53617954,15.06902981,16.11097908,15.56700039,15.75127029,15.98190975,16.89126015,17.13750076,17.49785995,17.0864296,17.1053009,17.48032951,17.62022972,17.49011993,17.59090996,17.56229973,17.38734055,17.36672974,17.54862976,17.56863976,17.47475052,17.69016075,17.68293953,17.78388977,17.96912956,18.06615067,18.12005043,18.18519974,18.18519974,18.18519974
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143,7.460750103,7.641940117,7.887959957,7.897469997,7.933139801,7.999619961,8.382760048,8.526877642,8.670995235,8.815112829,8.959230423,8.564680099,9.161899567,9.225540161,9.354125023,9.482709885,9.945119858,9.976340294,10.40861034,11.06719017,11.92319012,12.39546967,12.53003502,12.66460037,12.59261036,12.65250969,12.61919975,12.75613022,12.95372534,13.15132046,12.88694954,12.88694954
NRU,Nauru,Oceania,Southern Hemisphere,,EAP,,,,,,,,,,,,9.548890114,9.690799713,9.312490463,8.975170135,9.075570107,10.86083031,10.13370037,9.002280235,9.56649971,9.742471842,9.921680914,10.10418647,10.29004914,10.47933069,10.672094,10.86840312,11.06832328,11.27192088,11.47926359,11.69042029,11.69042029,11.69042029
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13,14.48279953,14.81429958,15.16473961,15.97017002,16.55532074,16.85778046,17.00136948,17.10922185,17.21707423,17.3249266,17.43277898,17.54063135,17.64848373,17.7563361,17.86418847,17.97204085,18.07989322,18.1877456,18.29559797,18.40345035,18.51130272,18.6191551,18.72700747,18.83485985,18.80341911,18.86964989,18.12450027,18.83856964,18.87854958,20.28388977,20.28388977,20.28388977
OMN,Oman,Asia,Northern Hemisphere,Very High,AS,54,7.896699905,8.247389793,8.652330399,9.215479851,9.266460419,9.490539551,9.740269661,9.820240021,10.06287003,10.34317799,10.62348595,10.90379391,11.18410187,11.46440983,11.60352468,11.74263954,11.78359985,12.0812397,12.40342999,13.3710804,13.38470507,13.39832973,13.5687747,13.73921967,14.00377464,14.26832962,14.63817978,14.18214035,14.1161499,14.31089973,14.57349014,14.57349014
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161,4.626049995,4.68038691,4.734723825,4.789060739,4.843397654,4.897734569,4.952071483,5.006408398,5.060745313,5.115082227,5.169419142,5.223756057,5.278092971,5.332429886,5.742340088,6.093520164,6.28110981,6.713580132,6.731939793,6.818009853,6.813624859,6.809239864,6.919909954,6.978740215,7.296909809,7.584290028,7.989449978,7.931729794,8.275939941,8.658349991,8.658349991,8.658349991
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61,10.6522398,10.66341972,10.77066994,10.94305038,10.8969202,11.12065029,11.32726955,11.5777998,11.82833004,12.07886028,12.33146,12.54675007,12.73756981,12.81908512,12.90060043,12.89698029,12.89313984,12.9639101,12.77729034,12.7495203,12.81746006,12.65684986,12.67351309,12.69017633,12.70683956,12.70656967,12.90561008,12.95616796,13.0069239,13.05787868,13.05787868,13.05787868
PER,Peru,America,Southern Hemisphere,High,LAC,84,11.72138977,11.70501995,11.48295975,11.46770954,11.58224964,11.93307018,11.89482021,11.8196497,12.42867994,13.03771019,12.87779045,13.36966991,12.8752203,12.35818005,12.59951019,12.60894012,12.81361008,13.01843605,13.22326202,13.428088,13.63291397,13.83773994,14.04256592,14.24739189,14.45221786,14.65704384,14.86186981,14.99071026,15.18792464,15.38773354,15.38773354,15.38773354
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116,10.78757,10.78501034,10.80265999,10.78906345,10.77546692,10.76187038,11.12605,11.17542982,11.22480965,11.38438988,11.38376999,11.3831501,11.58487988,11.5952301,11.61896038,11.51733971,11.36717987,11.52336979,11.67955971,11.36655998,11.62320595,11.87985191,12.13649788,12.39314384,12.64978981,12.82507992,12.84617043,13.14836025,13.19219971,13.39021015,13.12656975,13.12656975
PLW,Palau,Oceania,Northern Hemisphere,High,EAP,80,,,,,,,,,,,14.0816803,14.27463649,14.46759268,14.66054887,14.85350506,15.04646125,15.23941744,15.43237363,15.62532982,15.81828602,16.01124221,16.2041984,16.39715459,16.59011078,16.47499781,16.35988484,16.24477187,16.12965891,16.01454594,15.89943297,15.78432,15.78432
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,156,3.784030274,3.951165325,4.125682486,4.307907813,4.498181764,4.696859837,4.916293303,5.13572677,5.355160236,5.592510934,5.829861631,6.067212329,6.304563026,6.541913723,6.779264421,7.016615118,7.253965816,7.491316513,7.72866721,7.966017908,8.203368605,8.440719303,8.67807,8.915829167,9.153588333,9.3913475,9.629106667,9.866865833,10.104625,10.36077074,10.36077074,10.36077074
POL,Poland,Europe,Northern Hemisphere,Very High,,34,12.23526001,12.27208042,12.25127983,12.88770008,13.10297012,13.0545702,13.26350975,13.7794199,14.20794964,14.58401966,14.71825981,15.0008297,15.32771015,15.46210957,14.79946041,14.97383976,14.97492981,14.98614979,15.0042696,15.05370045,15.30467987,15.22449017,15.34090996,16.30895042,15.98246956,16.01518949,16.04790942,16.08062935,16.02598953,16.0271492,16.0271492,16.0271492
PRK,North Korea,Asia,Northern Hemisphere,,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74618,10.77764514,10.78317,10.78317,10.78317,10.78317,10.78317
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38,11.76766968,12.22264004,13.01918983,14.1583004,14.64418983,14.97101021,15.43239975,15.65526009,15.87812042,15.45625019,15.70429993,15.89315987,15.80930042,15.8705101,15.41162014,15.41471004,15.42185974,15.75298023,15.95997047,16.01322937,16.11691093,16.21479988,16.30388069,16.75221062,16.51876068,16.44728088,16.37409019,16.53578949,16.72011948,16.87122917,16.87122917,16.87122917
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,8.583299637,8.867646535,9.151993434,9.436340332,9.643460274,9.850580215,10.1936903,10.61834685,11.0430034,11.46765995,11.68776989,12.10713959,12.57073975,12.01381016,12.16732025,11.98626995,11.87640476,11.76653957,11.96699047,12.25207996,12.18908024,12.6154951,12.79363242,12.96018627,12.90811589,12.99628522,12.76987498,12.70668574,12.75262838,12.98799113,12.98799113,12.98799113
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106,,,,,,9.94682864,10.2123003,10.59757042,10.93435001,11.27112961,11.23666954,11.64340973,11.86647034,12.23983002,12.66081047,12.68805027,12.86791992,13.33366013,13.37886047,13.27307034,13.36909962,13.31772995,13.30860996,13.10519028,13.17203045,13.20928001,13.19561005,13.36406994,13.40939999,13.40559006,13.35801029,13.35801029
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,42,11.84733963,11.51646042,11.16573048,11.56651974,11.94487953,12.15437984,12.44118023,12.6665802,12.89198017,12.99153996,12.77415991,12.55677986,12.81210995,13.34971046,13.29403973,13.19303989,12.28493977,12.45077491,12.61661005,12.78244519,12.94828033,13.49617958,11.57071972,11.0530901,11.43953037,11.99582005,12.21823025,11.90872002,12.02342987,12.30768013,12.63722038,12.63722038
ROU,Romania,Europe,Northern Hemisphere,Very High,,53,11.92111015,10.99755001,10.56622028,10.36369991,10.28365993,10.42288971,10.89214993,11.02046967,11.13547039,11.51214981,11.62876987,11.91536045,12.39365005,12.83399963,13.36207962,13.66652012,14.0582304,14.62831974,15.32608986,15.66170979,15.5516901,15.19215965,14.6047802,14.61459351,14.62440681,14.63422012,14.32149029,14.25988007,14.27499962,14.22990036,14.22990036,14.22990036
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,,52,12.82444,12.66557026,12.4005003,12.0488596,11.79273033,11.77857018,11.89381981,11.89286041,11.97801971,12.11678028,12.57031775,13.02385521,13.47739267,13.93093014,13.84131527,13.7517004,13.77840996,13.88510036,13.98149967,13.72636986,14.18549013,14.6446104,14.57188988,14.75537968,14.77151966,15.12909985,15.20600986,15.02735043,15.7072401,15.76636982,15.76636982,15.76636982
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,5.632040024,5.803090043,5.974140061,6.14519008,6.316240099,6.487290117,6.658340136,6.829390155,7.000440174,7.171490192,7.478769779,7.382740021,7.679729939,8.189399719,8.851280212,9.171500206,10.01309013,10.41926956,10.40192032,10.96794033,11.20610046,11.43978977,11.67770958,11.51414013,11.45512009,11.09284973,11.49981976,11.49604034,11.18665981,11.23097038,11.23097038,11.23097038
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35,9.585306116,9.768487876,9.955170365,10.14542048,10.33930641,10.53689763,10.73826496,10.94348055,11.15261795,11.36575212,11.58295942,11.8043177,12.02990629,12.25980603,12.49409931,12.7328701,12.95001507,13.16716003,13.40357018,13.63998032,13.99651882,14.35305732,14.70959582,15.06613432,15.42267282,15.77921132,16.13574982,15.63002014,15.67512989,16.02643967,16.13549042,16.13549042
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,4.194768272,4.315611234,4.439935442,4.567841185,4.699431638,4.834812951,4.974094332,5.117388133,5.264809945,5.416478687,5.572516705,5.73304987,5.794079781,5.905220032,6.229390144,6.348959923,6.603700161,6.530020237,7.043960094,7.236340046,7.225570202,6.939670086,7.242619991,7.491300106,7.523449898,7.609839916,7.692326034,7.775706251,7.859990261,7.945187858,7.945187858,7.945187858
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,4.423130163,4.501156964,4.580560207,4.661364174,4.74216814,4.822972107,4.903776073,4.98458004,5.095935106,5.207290173,5.464044094,5.720798016,5.977551937,6.234305859,6.49105978,6.747739792,6.869750023,7.265204906,7.66065979,7.856255054,8.051850319,8.724579811,8.975609779,9.034830093,9.279299736,9.270440102,9.163832664,9.057225227,8.95061779,8.844010353,8.963749886,8.963749886
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12,10.60184773,10.80219761,11.00254749,11.20289737,11.40324724,11.60359712,11.8228777,12.04215827,12.26143885,12.48071942,12.7,12.6,12.7,12.7,12.6,13.9,14.1,14.2,14.4,14.5,15.2,15.4,15.8,15.8,16.1,16.1,16.31657982,16.44087982,16.51959038,16.5243206,16.5243206,16.5243206
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,155,5.985459805,6.15007019,6.555089951,6.932380199,7.179950237,7.180796146,7.181642056,7.182487965,7.183333874,7.184179783,6.644999981,7.306730032,7.968460083,8.110679944,8.252899806,8.395119667,9.011380196,9.229940414,9.71437361,10.1988068,10.68324,10.77255,10.6022,10.56268816,10.52332357,10.48410569,10.44503396,10.40610784,10.36732679,10.32869027,10.32869027,10.32869027
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,4.506159782,4.228769779,4.441174793,4.653579807,4.865984821,5.078389835,5.290794849,5.503199863,5.715604877,5.928009892,6.140414906,6.35281992,6.610703186,6.879054839,7.158299829,7.448880353,7.75125656,8.06590728,8.380558,8.695208719,9.009859439,9.072145944,9.13443245,9.196718955,9.259005461,9.321291966,9.383578471,9.445864977,9.509414262,9.57339109,9.57339109,9.57339109
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,8.899497437,9.195750237,9.50186491,9.807979584,10.12818165,10.44838371,10.76858578,11.08878784,11.40898991,11.24400997,11.51992035,11.62421036,11.85634041,12.13774967,12.34562016,12.5539999,12.49475956,13.0039196,12.36439991,12.36340046,12.47132969,12.61316013,12.67521,12.78911972,12.54815006,12.56406608,12.5769017,12.53785778,12.71449047,12.67134767,12.67134767,12.67134767
SMR,San Marino,Europe,Northern Hemisphere,Very High,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89288998,11.96094036,12.26613998,12.26613998
SOM,Somalia,Africa,Northern Hemisphere,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,12.38251487,12.45202477,12.52192486,12.59221734,12.66290441,12.73398829,12.8054712,12.87735538,12.94964309,13.02233659,13.09543815,13.16895008,12.96475983,13.08683014,13.16234016,13.41617966,13.53829956,13.51412964,13.60622978,13.6344099,13.52546978,14.03466034,14.14078999,14.28219986,14.36067963,14.55158043,14.64188004,14.76615047,14.73746967,14.65697002,14.40009022,14.40009022
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,,,,,,,,,,,,,,,,,,,,,4.87162,5.005798,5.139976,5.274154,5.408332,5.54251,5.54251,5.54251,5.54251,5.54251,5.54251,5.54251
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,8.229322707,8.31258549,8.39669071,8.481646891,8.567462643,8.654146663,8.741707737,8.830154737,8.919496628,9.009742464,9.100901391,9.192982647,9.285995565,9.37994957,9.660550117,9.901069641,9.99469471,10.08831978,9.855819702,10.36534977,10.21755981,10.41050005,10.60344028,11.08731031,11.57118034,12.38348961,12.62896347,12.87443733,13.11991119,13.36538506,13.36538506,13.36538506
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,11.82423019,11.78651182,11.74879344,11.71107507,11.67335669,11.63563832,11.59791994,11.56020157,11.52248319,11.48476481,11.44704644,11.40932806,11.37160969,11.52178391,11.67394135,11.82810819,11.98431096,12.14257656,12.30084216,12.45910776,12.61737336,12.77563896,12.80810885,12.84057874,12.87304863,12.90551852,12.9379884,12.97045829,13.00292818,13.03564357,13.03564357,13.03564357
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45,11.53758582,11.62315774,11.70936433,11.79621029,11.88370037,12.04553986,12.23585033,12.32246017,12.87141037,13.00547981,13.24777031,13.21650982,13.5188303,13.72305965,13.93457985,14.20277023,14.42905045,14.73155022,14.87456989,14.94666004,14.99320984,14.94832039,14.95083046,14.93280029,14.80397987,14.67733955,14.53180027,14.48703957,14.48058033,14.51303959,14.51303959,14.51303959
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23,11.96399021,12.04930973,12.27888012,12.16870975,12.3100996,12.58475018,12.80161953,13.13873959,13.69239998,14.56196976,14.75059986,15.60025024,16.10861969,16.60168076,16.34767914,16.70615959,16.86500931,16.92316055,16.95817947,17.01222038,17.14838982,17.00090027,16.98918915,17.70853996,17.33702087,17.29199028,17.5005703,17.57205963,17.59638023,17.65492058,17.65492058,17.65492058
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7,12.89834976,13.00177956,13.24635029,15.10190964,15.53335953,15.88644028,16.31859016,17.03985977,18.55097961,18.76285934,18.78499985,18.84446907,18.60659027,18.5394001,15.95156002,15.89435959,15.83596992,15.72296047,15.7457304,15.73752022,15.92706966,15.7834301,15.79234982,18.07908058,18.19613075,18.5685997,18.83242989,19.48233986,19.69101906,19.41852951,19.41852951,19.41852951
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,9.369875389,9.403099026,9.436440468,9.469900131,9.608366648,9.746833165,9.885299683,9.960853259,10.03640683,10.11196041,10.02482986,10.00865507,9.992480278,10.31796026,10.64344025,10.90015984,11.59587955,11.82354164,12.05120373,12.27886581,12.5065279,12.73418999,12.76319504,12.79220009,12.94618222,13.10201787,13.25972934,13.41933922,13.58087035,13.74434586,13.74434586,13.74434586
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,11.45063391,11.53717995,11.62438011,11.75706959,11.99201965,11.87429047,11.93842983,11.95779514,11.97716045,12.3228302,12.23814964,11.7389698,12.10793018,12.2996397,12.10647011,13.06902027,11.68035984,13.2150898,13.30142021,13.31093025,13.37236023,11.83082962,13.53345013,13.38127041,14.26441002,14.19937992,14.10877991,13.89396954,14.14966011,14.19274998,13.94161034,13.94161034
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,10.26681042,10.28670979,10.12106037,10.01791,9.878669739,9.664310455,9.743434634,9.822558812,9.90168299,9.980807168,10.05993135,10.13905552,10.2181797,10.58946991,10.95310974,11.36404037,11.42673969,11.50831985,11.57866955,11.51060963,11.73244953,12.10453033,12.91643047,9.164219856,9.164219856,9.164219856,9.164219856,9.164219856,9.164219856,9.164219856,9.164219856,9.164219856
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,2.415178514,2.586861517,2.770748609,2.967707318,3.17866684,3.404622423,3.646640062,3.976520061,4.477240086,4.661309958,4.845379829,5.128560066,5.408710003,5.549650192,5.626329899,5.462709904,5.717326641,5.971943378,6.226560116,6.628439903,6.616559982,7.250840187,7.460413456,7.669986725,7.879559994,7.349349976,7.51528615,7.684968888,7.858482783,8.035914334,8.035914334,8.035914334
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,7.492650032,7.865890026,7.330359936,7.36823988,7.406119823,8.256549835,8.700130463,8.917267799,9.134405136,9.351542473,9.56867981,9.9103899,10.05145502,10.19252014,10.30912018,10.38064003,10.79185009,10.2396698,10.68993974,11.14020967,11.59047961,12.04074955,12.15355968,12.26636982,12.37917995,12.49199009,12.60480022,12.71761036,12.83352383,12.95049378,12.95049378,12.95049378
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,8.434339523,8.6890529,8.943766276,9.198479652,9.39669466,9.594909668,9.777119637,10.12629986,10.61707973,10.92442989,11.23178005,11.53913021,11.79646969,12.0318799,12.26729012,12.71640015,12.79994011,13.28761005,13.23031044,13.28015995,13.27869987,13.51762009,13.30148983,13.16110992,15.71035004,15.56759501,15.42483997,15.57729969,15.72975941,15.88221913,15.88221913,15.88221913
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,11.98297944,11.8730402,11.76410961,10.94089985,10.23171997,10.21700954,10.06160712,9.9062047,9.750802279,9.595399857,9.710100174,9.838330269,10.08977032,10.50277042,10.56330013,10.74958992,10.91092968,10.89369965,11.1782999,11.19478989,11.21016979,11.18574047,11.30372047,11.39130974,11.43451898,11.47789213,11.5214298,11.56513261,11.60900119,11.65303618,11.65303618,11.65303618
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,,,,,,,,,,,,,,,,9.291110965,9.574964777,9.885909955,10.19685513,10.50780031,10.81874549,11.12969067,11.44063585,11.75158102,12.0625262,12.37347138,12.68441656,12.76720446,12.84999236,12.93278027,13.21039963,13.21039963
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,,,,,,,,,,,,,10.02422047,10.38859177,10.75296307,11.11733437,11.48170567,11.84607697,12.21044827,12.57481956,12.44688034,13.00276,12.9379,12.65309,12.51745,12.49089,12.39822,12.39822,12.39822,12.616098,12.616098,12.616098
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,12.07151065,12.23987946,12.41059662,12.58369487,12.75920744,12.93716798,13.11761065,13.30057006,13.48608133,13.67418003,13.16876984,13.40598965,13.61392021,14.5261898,14.61574162,14.70529343,14.79484524,14.88439706,14.97394887,15.06350068,15.1530525,15.24260431,15.33215613,15.42170794,15.51125975,15.60081157,15.69036338,15.77991519,15.86946701,15.95901882,16.04857063,16.04857063
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,11.11131308,11.05126953,10.99155045,11.01103973,11.12510612,11.2391725,11.35323889,11.46730527,11.58137165,11.69543804,11.80950442,11.92357081,12.03763719,12.15170357,12.26576996,12.38313146,12.5016159,12.69514154,12.88866718,13.08219282,13.27571846,13.46924409,13.59812069,13.72823041,13.85958505,13.99219652,14.12607684,14.26123815,14.39769272,14.53545292,14.53545292,14.53545292
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,10.47406006,10.56616974,10.65849972,10.86925983,11.3098402,11.54496002,11.74763012,11.77896023,12.33230972,12.74440002,13.02898979,13.29302979,13.43704987,13.54868031,13.89883041,14.16895962,14.25150013,14.32666016,14.41417027,14.39165974,14.49536037,14.64006996,14.7186451,14.79722023,14.76702023,14.8910799,15.12561035,15.22488136,15.3248039,15.42538224,15.42538224,15.42538224
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,9.055789948,9.188130379,9.308939934,9.463040352,9.586339951,9.732910156,9.820175171,9.907440186,10.34612989,10.7848196,11.19116497,11.59751034,11.99232006,12.11820984,12.01014996,11.9279604,12.32229996,12.55862045,12.48814964,12.97735977,13.8267498,14.3332901,14.4203701,16.45841026,16.92144012,17.32136917,17.69868088,17.98140907,18.15805054,18.3382206,18.3382206,18.3382206
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,10.15764046,10.11438668,10.0711329,10.02787912,9.98462534,9.94137156,9.898117781,9.854864001,9.811610222,10.16412671,10.51664321,10.8691597,10.88541895,10.90167821,10.91793746,10.93419671,10.95045597,10.96671522,10.98297448,10.99923373,11.01549298,11.03175224,11.04801149,11.06427075,11.08053,11.55312,10.11333,9.95048,9.78763,9.64264,9.40443,9.40443
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,5.693888074,5.644489765,5.59552002,5.628250122,5.541329861,5.498129845,5.43682003,5.479010105,5.772403937,6.065797769,6.359191601,6.652585433,6.945979265,7.239373097,7.532766929,7.826160761,8.119554593,8.412948425,8.706342257,8.999736089,9.293129921,9.140239906,8.987349892,8.834459877,8.681569862,8.528679848,8.313139915,8.097599983,8.479839802,8.86207962,9.221489906,9.221489906
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,5.721580029,5.697579861,5.163599968,5.477469921,5.519720078,5.581089973,6.169204394,6.757318815,7.345433235,7.933547656,8.521662076,9.109776497,9.697890917,10.28600534,10.87411976,10.84825063,10.8223815,10.8969367,10.97149191,11.04604712,11.12060232,11.19515753,11.06210535,10.92905317,10.796001,10.66294882,10.52989664,10.40166585,10.27499662,10.14986994,10.14986994,10.14986994
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,12.37267971,12.37812042,12.14836979,11.95456028,11.8551302,12.09792213,12.34071407,12.58350601,12.82629795,13.06908989,12.99386024,13.73404026,14.11824989,14.41971016,14.35112,14.55998993,14.67827988,14.75677967,14.78808975,14.77225018,14.76490021,14.79920006,14.88187981,14.82952976,14.86394978,14.88242753,14.90092826,14.91945198,14.93799873,14.95656854,14.95656854,14.95656854
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,12.88957024,12.99347973,12.80471992,12.89607739,12.98743486,13.07879233,13.1701498,13.5117898,13.85342979,13.88834953,14.20868969,14.68225002,15.08796024,15.5248003,15.53059959,15.21078014,15.32322979,14.9503603,14.71558952,15.06327963,15.41096973,15.68239657,15.95382341,16.22525024,16.32092094,16.34380913,16.63433075,16.83563995,16.72912025,16.83259964,16.83259964,16.83259964
USA,United States,America,Northern Hemisphere,Very High,,21,15.41786003,15.4780302,15.7397151,16.00139999,16.02688026,16.01859093,15.96275043,15.96238518,15.96201992,15.38418961,15.4471364,15.5100832,15.57302999,15.63597679,15.69892359,15.76187038,15.81015909,15.85844779,15.90673649,15.9550252,16.0033139,16.0516026,16.0998913,16.14818001,16.14966011,16.1919899,16.27448082,16.31038094,16.28334999,16.28097916,16.28097916,16.28097916
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101,11.31336975,11.18865967,10.85834026,10.83678314,10.81522601,10.79366888,10.77211176,10.75055463,10.7289975,10.70744038,10.80943012,11.01488018,11.22033024,11.4257803,11.43179989,11.49676037,11.44670963,11.51074028,11.35791969,11.42271042,11.46634007,11.48429966,11.6434803,11.66324043,11.7082901,11.75932026,11.89163971,12.05881977,12.25255966,12.47714043,12.47714043,12.47714043
